original_title,popularity,genre,release_year,budget_adj,revenue_adj,production_company,novel_based
Jurassic World,32.985763,Action,2015,137999939.280027,1392445892.52381,Universal,N
Jurassic World,32.985763,Adventure,2015,137999939.280027,1392445892.52381,Universal,N
Jurassic World,32.985763,Science Fiction,2015,137999939.280027,1392445892.52381,Universal,N
Jurassic World,32.985763,Thriller,2015,137999939.280027,1392445892.52381,Universal,N
Mad Max: Fury Road,28.419936,Action,2015,137999939.280027,348161292.489031,Other,N
Mad Max: Fury Road,28.419936,Adventure,2015,137999939.280027,348161292.489031,Other,N
Mad Max: Fury Road,28.419936,Science Fiction,2015,137999939.280027,348161292.489031,Other,N
Mad Max: Fury Road,28.419936,Thriller,2015,137999939.280027,348161292.489031,Other,N
Insurgent,13.112507,Adventure,2015,101199955.47202,271619025.407629,Other,Y
Insurgent,13.112507,Science Fiction,2015,101199955.47202,271619025.407629,Other,Y
Insurgent,13.112507,Thriller,2015,101199955.47202,271619025.407629,Other,Y
Star Wars: The Force Awakens,11.173104,Action,2015,183999919.040036,1902723129.80182,Other,N
Star Wars: The Force Awakens,11.173104,Adventure,2015,183999919.040036,1902723129.80182,Other,N
Star Wars: The Force Awakens,11.173104,Science Fiction,2015,183999919.040036,1902723129.80182,Other,N
Star Wars: The Force Awakens,11.173104,Fantasy,2015,183999919.040036,1902723129.80182,Other,N
Furious 7,9.335014,Action,2015,174799923.088034,1385748801.47053,Universal,N
Furious 7,9.335014,Crime,2015,174799923.088034,1385748801.47053,Universal,N
Furious 7,9.335014,Thriller,2015,174799923.088034,1385748801.47053,Universal,N
The Revenant,9.1107,Western,2015,124199945.352024,490314247.021731,Other,Y
The Revenant,9.1107,Drama,2015,124199945.352024,490314247.021731,Other,Y
The Revenant,9.1107,Adventure,2015,124199945.352024,490314247.021731,Other,Y
The Revenant,9.1107,Thriller,2015,124199945.352024,490314247.021731,Other,Y
Terminator Genisys,8.654359,Science Fiction,2015,142599937.256028,405355075.683767,Paramount,N
Terminator Genisys,8.654359,Action,2015,142599937.256028,405355075.683767,Paramount,N
Terminator Genisys,8.654359,Thriller,2015,142599937.256028,405355075.683767,Paramount,N
Terminator Genisys,8.654359,Adventure,2015,142599937.256028,405355075.683767,Paramount,N
The Martian,7.6674,Drama,2015,99359956.2816192,547749654.310152,Other,Y
The Martian,7.6674,Adventure,2015,99359956.2816192,547749654.310152,Other,Y
The Martian,7.6674,Science Fiction,2015,99359956.2816192,547749654.310152,Other,Y
Minions,7.404164999999999,Family,2015,68079970.0448132,1064192016.79551,Universal,N
Minions,7.404164999999999,Animation,2015,68079970.0448132,1064192016.79551,Universal,N
Minions,7.404164999999999,Adventure,2015,68079970.0448132,1064192016.79551,Universal,N
Minions,7.404164999999999,Comedy,2015,68079970.0448132,1064192016.79551,Universal,N
Inside Out,6.326804,Comedy,2015,160999929.160031,785411574.698907,Other,N
Inside Out,6.326804,Animation,2015,160999929.160031,785411574.698907,Other,N
Inside Out,6.326804,Family,2015,160999929.160031,785411574.698907,Other,N
Spectre,6.200282,Action,2015,225399900.824044,810220283.783075,Other,Y
Spectre,6.200282,Adventure,2015,225399900.824044,810220283.783075,Other,Y
Spectre,6.200282,Crime,2015,225399900.824044,810220283.783075,Other,Y
Jupiter Ascending,6.189369,Science Fiction,2015,161919931.51523,169268630.681803,Other,N
Jupiter Ascending,6.189369,Fantasy,2015,161919931.51523,169268630.681803,Other,N
Jupiter Ascending,6.189369,Action,2015,161919931.51523,169268630.681803,Other,N
Jupiter Ascending,6.189369,Adventure,2015,161919931.51523,169268630.681803,Other,N
Ex Machina,6.118847,Drama,2015,13799993.9280027,33919845.9552678,Universal,N
Ex Machina,6.118847,Science Fiction,2015,13799993.9280027,33919845.9552678,Universal,N
Pixels,5.984995,Action,2015,80959964.3776157,224146025.095749,Other,N
Pixels,5.984995,Comedy,2015,80959964.3776157,224146025.095749,Other,N
Pixels,5.984995,Science Fiction,2015,80959964.3776157,224146025.095749,Other,N
Avengers: Age of Ultron,5.944927,Action,2015,257599886.65605,1292632336.88177,Other,N
Avengers: Age of Ultron,5.944927,Adventure,2015,257599886.65605,1292632336.88177,Other,N
Avengers: Age of Ultron,5.944927,Science Fiction,2015,257599886.65605,1292632336.88177,Other,N
The Hateful Eight,5.8984,Crime,2015,40479982.1888078,143299244.588332,Other,N
The Hateful Eight,5.8984,Drama,2015,40479982.1888078,143299244.588332,Other,N
The Hateful Eight,5.8984,Mystery,2015,40479982.1888078,143299244.588332,Other,N
The Hateful Eight,5.8984,Western,2015,40479982.1888078,143299244.588332,Other,N
Taken 3,5.749758,Crime,2015,44159980.5696086,299709578.207786,Other,N
Taken 3,5.749758,Action,2015,44159980.5696086,299709578.207786,Other,N
Taken 3,5.749758,Thriller,2015,44159980.5696086,299709578.207786,Other,N
Ant-Man,5.573184,Science Fiction,2015,119599947.376023,477113780.029937,Other,N
Ant-Man,5.573184,Action,2015,119599947.376023,477113780.029937,Other,N
Ant-Man,5.573184,Adventure,2015,119599947.376023,477113780.029937,Other,N
Cinderella,5.556818,Romance,2015,87399961.5440169,498963025.216269,Other,N
Cinderella,5.556818,Fantasy,2015,87399961.5440169,498963025.216269,Other,N
Cinderella,5.556818,Family,2015,87399961.5440169,498963025.216269,Other,N
Cinderella,5.556818,Drama,2015,87399961.5440169,498963025.216269,Other,N
The Hunger Games: Mockingjay - Part 2,5.476958,War,2015,147199935.232029,598481289.508233,Other,N
The Hunger Games: Mockingjay - Part 2,5.476958,Adventure,2015,147199935.232029,598481289.508233,Other,N
The Hunger Games: Mockingjay - Part 2,5.476958,Science Fiction,2015,147199935.232029,598481289.508233,Other,N
Tomorrowland,5.462138,Action,2015,174799923.088034,192312729.942399,Other,N
Tomorrowland,5.462138,Family,2015,174799923.088034,192312729.942399,Other,N
Tomorrowland,5.462138,Science Fiction,2015,174799923.088034,192312729.942399,Other,N
Tomorrowland,5.462138,Adventure,2015,174799923.088034,192312729.942399,Other,N
Tomorrowland,5.462138,Mystery,2015,174799923.088034,192312729.942399,Other,N
Southpaw,5.337064,Action,2015,27599987.8560053,84373003.7158784,Other,N
Southpaw,5.337064,Drama,2015,27599987.8560053,84373003.7158784,Other,N
San Andreas,4.907832,Action,2015,101199955.47202,432851374.985395,Other,N
San Andreas,4.907832,Drama,2015,101199955.47202,432851374.985395,Other,N
San Andreas,4.907832,Thriller,2015,101199955.47202,432851374.985395,Other,N
Fifty Shades of Grey,4.710401999999998,Drama,2015,36799983.8080071,524079119.045188,Other,Y
Fifty Shades of Grey,4.710401999999998,Romance,2015,36799983.8080071,524079119.045188,Other,Y
The Big Short,4.648046,Comedy,2015,25759988.665605,122678731.541358,Paramount,N
The Big Short,4.648046,Drama,2015,25759988.665605,122678731.541358,Paramount,N
